id,Name,Cuisine,Ratings,Reviews,Price_Rng,Zip-Code,State,City,NumberReturns,AdjustedGross Income,IncomeperReturn,SalaryperReturn,TaxPaidperReturn,MTW Status
344,Local Expedition Wood Fired Grill,Chicken Wings,5,309,2,30328,GEORGIA,Atlanta,"15,342","1,515,043","$98,751 ","$67,212 ","$23,526 ",Matching
664,Three Dollar Cafe,Chicken Wings,3,148,2,30342,GEORGIA,Atlanta,"13,517","1,178,396","$87,179 ","$65,255 ","$20,854 ",Matching
73,Hai,Chinese,4,260,2,30033,GEORGIA,Decatur,"14,440","716,375","$49,610 ","$41,060 ","$8,907 ",Matching
274,Hsu's Atlanta,Chinese,4,386,2,30303,GEORGIA,Atlanta,"1,746","80,603","$46,164 ","$42,587 ","$33,834 ",Matching
663,Lucky China,Chinese,3,85,1,30308,GEORGIA,Atlanta,"5,950","308,468","$51,843 ","$34,477 ","$10,750 ",Matching
51,Little Bangkok,Chinese,4,807,2,30324,GEORGIA,Atlanta,"10,983","604,700","$55,058 ","$46,404 ","$11,365 ",Matching
244,Su's Chinese Cuisine,Chinese,3,217,2,30324,GEORGIA,Atlanta,"10,983","604,700","$55,058 ","$46,404 ","$11,365 ",Matching
469,8ARM,Cocktail Bars,3.5,243,2,30306,GEORGIA,Atlanta,"12,266","840,840","$68,550 ","$55,718 ","$14,516 ",Matching
636,Ticonderoga Club,Cocktail Bars,4.5,215,2,30307,GEORGIA,Atlanta,"8,251","483,693","$58,622 ","$47,414 ","$12,642 ",Matching
452,Buena Gente Cuban Bakery,Coffee & Tea,5,85,1,30033,GEORGIA,Decatur,"14,440","716,375","$49,610 ","$41,060 ","$8,907 ",Matching
440,Golden Drops Caf,Coffee & Tea,4.5,294,1,30033,GEORGIA,Decatur,"14,440","716,375","$49,610 ","$41,060 ","$8,907 ",Matching
421,El Viedo Local,Coffee & Tea,4.5,66,2,30308,GEORGIA,Atlanta,"5,950","308,468","$51,843 ","$34,477 ","$10,750 ",Matching
576,Huge x Brash,Coffee & Tea,4,46,2,30309,GEORGIA,Atlanta,"10,405","932,807","$89,650 ","$58,739 ","$21,141 ",Matching
446,Farmers Basket,Comfort Food,3.5,23,1,30303,GEORGIA,Atlanta,"1,746","80,603","$46,164 ","$42,587 ","$33,834 ",Matching
174,Palacsinta,Creperies,4.5,17,2,30307,GEORGIA,Atlanta,"8,251","483,693","$58,622 ","$47,414 ","$12,642 ",Matching
29,La Fonda Latina,Cuban,4,494,2,30306,GEORGIA,Atlanta,"12,266","840,840","$68,550 ","$55,718 ","$14,516 ",Matching
71,Papi's Cuban & Caribbean Grill,Cuban,4,1073,2,30308,GEORGIA,Atlanta,"5,950","308,468","$51,843 ","$34,477 ","$10,750 ",Matching
201,Jack's New Yorker Deli,Delis,4,221,2,30305,GEORGIA,Atlanta,"14,265","1,992,461","$139,675 ","$103,339 ","$42,238 ",Matching
281,Tuscany at Your Table,Delis,4.5,41,1,30306,GEORGIA,Atlanta,"12,266","840,840","$68,550 ","$55,718 ","$14,516 ",Matching
410,Grand Lux Cafe - Atlanta,Desserts,3.5,323,2,30326,GEORGIA,Atlanta,"1,688","151,035","$89,476 ","$117,370 ","$32,505 ",Matching
164,Metro Caf Diner,Diners,3,578,2,30303,GEORGIA,Atlanta,"1,746","80,603","$46,164 ","$42,587 ","$33,834 ",Matching
412,Landmark Diner,Diners,2.5,355,2,30305,GEORGIA,Atlanta,"14,265","1,992,461","$139,675 ","$103,339 ","$42,238 ",Matching
417,The Majestic Diner,Diners,3.5,380,2,30306,GEORGIA,Atlanta,"12,266","840,840","$68,550 ","$55,718 ","$14,516 ",Matching
304,Elbow Room Bar,Dive Bars,4,138,2,30305,GEORGIA,Atlanta,"14,265","1,992,461","$139,675 ","$103,339 ","$42,238 ",Matching
341,Moes and Joe's Tavern,Dive Bars,4,158,1,30306,GEORGIA,Atlanta,"12,266","840,840","$68,550 ","$55,718 ","$14,516 ",Matching
162,The Dinner Shoppe,Do-It-Yourself Food,5,10,2,30030,GEORGIA,Decatur,"12,299","530,683","$43,148 ","$37,815 ","$7,733 ",Matching
202,Sabor Dominicano,Dominican,4,81,1,30345,GEORGIA,Atlanta,"9,719","617,379","$63,523 ","$49,935 ","$13,362 ",Matching
483,Mochibees,Donuts,4.5,61,2,30096,GEORGIA,Duluth,"21,571","1,057,292","$49,015 ","$43,266 ","$8,441 ",Matching
453,Five Daughters Bakery,Donuts,4.5,269,2,30308,GEORGIA,Atlanta,"5,950","308,468","$51,843 ","$34,477 ","$10,750 ",Matching
482,Embilta Caf & Restaurant Ethiopian Cuisine,Ethiopian,4.5,153,2,30324,GEORGIA,Atlanta,"10,983","604,700","$55,058 ","$46,404 ","$11,365 ",Matching
235,Zaxby's Chicken Fingers & Buffalo Wings,Fast Food,2.5,142,1,30308,GEORGIA,Atlanta,"5,950","308,468","$51,843 ","$34,477 ","$10,750 ",Matching
382,Farmer's Basket,Fast Food,4,37,1,30326,GEORGIA,Atlanta,"1,688","151,035","$89,476 ","$117,370 ","$32,505 ",Matching
175,Scoville Hot Chicken,Fast Food,4.5,263,2,30342,GEORGIA,Atlanta,"13,517","1,178,396","$87,179 ","$65,255 ","$20,854 ",Matching
597,The Collective Food Hall at Coda,Food Court,3.5,5,2,30308,GEORGIA,Atlanta,"5,950","308,468","$51,843 ","$34,477 ","$10,750 ",Matching
300,Politan Row at Colony Square,Food Court,3.5,53,2,30361,GEORGIA,Atlanta,50,"3,904","$78,080 ","$142,500 ","$20,643 ",Matching
224,Pretty Little Taco,Food Court,3.5,63,2,30361,GEORGIA,Atlanta,50,"3,904","$78,080 ","$142,500 ","$20,643 ",Matching
57,Man vs Fries,Food Delivery Services,3.5,73,2,30308,GEORGIA,Atlanta,"5,950","308,468","$51,843 ","$34,477 ","$10,750 ",Matching
717,Nunn - Betta,Food Stands,4,1,1,30303,GEORGIA,Atlanta,"1,746","80,603","$46,164 ","$42,587 ","$33,834 ",Matching
15,El Burro Pollo,Food Stands,4.5,39,1,30308,GEORGIA,Atlanta,"5,950","308,468","$51,843 ","$34,477 ","$10,750 ",Matching
